"12ge -- Polttonesteiden kuluttajahinnat (sisältää alv:n), 1988M01-2025M03"

"Kuukausi","Polttoneste","Hinta","Hinta, vuosimuutos (%)"
"1995M02","Moottoribensiini 95 E 10, snt/l",83.6,15.0
"1995M02","Dieselöljy, snt/l",62.1,20.2
"1995M02","Kevyt polttoöljy, snt/l",25.1,-4.5
"1995M02","Kevyt polttoöljy, eur/MWh",25.2,-4.5
"1995M03","Moottoribensiini 95 E 10, snt/l",83.3,12.5
"1995M03","Dieselöljy, snt/l",61.2,17.4
"1995M03","Kevyt polttoöljy, snt/l",24.4,-4.6
"1995M03","Kevyt polttoöljy, eur/MWh",24.5,-4.7
"1995M04","Moottoribensiini 95 E 10, snt/l",81.4,7.8
"1995M04","Dieselöljy, snt/l",59.5,14.9
"1995M04","Kevyt polttoöljy, snt/l",24.1,-5.9
"1995M04","Kevyt polttoöljy, eur/MWh",24.2,-5.8
"1995M05","Moottoribensiini 95 E 10, snt/l",82.2,10.1
"1995M05","Dieselöljy, snt/l",58.4,14.9
"1995M05","Kevyt polttoöljy, snt/l",23.6,-7.9
"1995M05","Kevyt polttoöljy, eur/MWh",23.7,-7.8
"1995M06","Moottoribensiini 95 E 10, snt/l",81.1,6.9
"1995M06","Dieselöljy, snt/l",58.2,-4.7
"1995M06","Kevyt polttoöljy, snt/l",24.1,-5.3
"1995M06","Kevyt polttoöljy, eur/MWh",24.2,-5.1
"1995M07","Moottoribensiini 95 E 10, snt/l",81.6,6.6
"1995M07","Dieselöljy, snt/l",58.0,-4.7
"1995M07","Kevyt polttoöljy, snt/l",22.9,-11.1
"1995M07","Kevyt polttoöljy, eur/MWh",23.0,-10.9
"1995M08","Moottoribensiini 95 E 10, snt/l",81.4,3.0
"1995M08","Dieselöljy, snt/l",57.4,-5.8
"1995M08","Kevyt polttoöljy, snt/l",22.5,-10.7
"1995M08","Kevyt polttoöljy, eur/MWh",22.6,-10.7
"1995M09","Moottoribensiini 95 E 10, snt/l",79.7,1.9
"1995M09","Dieselöljy, snt/l",58.2,-3.6
"1995M09","Kevyt polttoöljy, snt/l",23.7,-3.5
"1995M09","Kevyt polttoöljy, eur/MWh",23.8,-3.6
"1995M10","Moottoribensiini 95 E 10, snt/l",80.2,3.7
"1995M10","Dieselöljy, snt/l",57.7,-3.9
"1995M10","Kevyt polttoöljy, snt/l",22.7,-6.2
"1995M10","Kevyt polttoöljy, eur/MWh",22.8,-6.2
"1995M11","Moottoribensiini 95 E 10, snt/l",80.4,3.2
"1995M11","Dieselöljy, snt/l",58.7,-2.5
"1995M11","Kevyt polttoöljy, snt/l",22.4,-3.6
"1995M11","Kevyt polttoöljy, eur/MWh",22.5,-3.4
"1995M12","Moottoribensiini 95 E 10, snt/l",80.2,5.5
"1995M12","Dieselöljy, snt/l",60.0,0.3
"1995M12","Kevyt polttoöljy, snt/l",24.1,4.4
"1995M12","Kevyt polttoöljy, eur/MWh",24.2,4.8
"1996M01","Moottoribensiini 95 E 10, snt/l",90.0,7.0
"1996M01","Dieselöljy, snt/l",60.6,-3.7
"1996M01","Kevyt polttoöljy, snt/l",25.2,2.1
"1996M01","Kevyt polttoöljy, eur/MWh",25.3,2.0
"1996M02","Moottoribensiini 95 E 10, snt/l",89.3,6.8
"1996M02","Dieselöljy, snt/l",61.6,-0.8
"1996M02","Kevyt polttoöljy, snt/l",26.6,6.0
"1996M02","Kevyt polttoöljy, eur/MWh",26.7,6.0
"1996M03","Moottoribensiini 95 E 10, snt/l",88.8,6.7
"1996M03","Dieselöljy, snt/l",62.2,1.6
"1996M03","Kevyt polttoöljy, snt/l",25.9,6.2
"1996M03","Kevyt polttoöljy, eur/MWh",26.0,6.1
"1996M04","Moottoribensiini 95 E 10, snt/l",93.2,14.5
"1996M04","Dieselöljy, snt/l",63.1,5.9
"1996M04","Kevyt polttoöljy, snt/l",26.6,10.5
"1996M04","Kevyt polttoöljy, eur/MWh",26.7,10.3
"1996M05","Moottoribensiini 95 E 10, snt/l",93.0,13.1
"1996M05","Dieselöljy, snt/l",62.7,7.5
"1996M05","Kevyt polttoöljy, snt/l",26.2,11.4
"1996M05","Kevyt polttoöljy, eur/MWh",26.4,11.4
"1996M06","Moottoribensiini 95 E 10, snt/l",92.5,14.1
"1996M06","Dieselöljy, snt/l",62.4,7.2
"1996M06","Kevyt polttoöljy, snt/l",25.4,5.6
"1996M06","Kevyt polttoöljy, eur/MWh",25.5,5.4
"1996M07","Moottoribensiini 95 E 10, snt/l",93.7,14.8
"1996M07","Dieselöljy, snt/l",62.9,8.4
"1996M07","Kevyt polttoöljy, snt/l",25.9,13.2
"1996M07","Kevyt polttoöljy, eur/MWh",26.0,13.0
"1996M08","Moottoribensiini 95 E 10, snt/l",92.3,13.4
"1996M08","Dieselöljy, snt/l",62.2,8.5
"1996M08","Kevyt polttoöljy, snt/l",25.4,12.7
"1996M08","Kevyt polttoöljy, eur/MWh",25.5,12.8
"1996M09","Moottoribensiini 95 E 10, snt/l",90.0,12.9
"1996M09","Dieselöljy, snt/l",63.1,8.4
"1996M09","Kevyt polttoöljy, snt/l",27.9,17.8
"1996M09","Kevyt polttoöljy, eur/MWh",28.0,17.6
"1996M10","Moottoribensiini 95 E 10, snt/l",92.7,15.5
"1996M10","Dieselöljy, snt/l",65.8,14.0
"1996M10","Kevyt polttoöljy, snt/l",30.8,35.5
"1996M10","Kevyt polttoöljy, eur/MWh",30.9,35.5
"1996M11","Moottoribensiini 95 E 10, snt/l",93.9,16.7
"1996M11","Dieselöljy, snt/l",65.6,11.7
